time_s,true_force,L2_estimate,Huber_estimate,exact_L1_estimate
1.091638796,1.682200165,1.782526787,1.871186676,1.204830666
1.095652174,1.633186351,2.442314673,1.585243604,1.807516378
1.099665552,1.386106421,1.378562691,1.026329988,0.6472581743
1.10367893,0.9738676239,0.7655864439,0.4674148315,-0.05013132413
1.107692308,0.4476234175,0.7537245098,-0.09150032534,-0.1305605217
1.111705686,-0.07862155184,-0.5007533447,-0.6504154822,-1.457504318
1.115719064,-0.6048665212,-0.009839410013,-1.067530982,-1.036083734
1.119732441,-1.13111149,-1.157254547,-1.600662974,-2.263507774
1.123745819,-1.44613318,-1.433125645,-1.894310979,-2.611887427
1.127759197,-1.580641511,-1.031084734,-1.744015843,-2.251410581
1.131772575,-1.520853508,-0.3538852631,-1.700651532,-1.594432011
1.135785953,-1.276817951,-1.556073429,-2.181833222,-2.870188392
1.139799331,-0.8808896503,-2.201629507,-2.39179099,-3.566641452
1.143812709,-0.3889692583,-0.7913966152,-1.787817266,-2.181590092
1.147826087,0.1029513042,-0.1165845486,-0.9361726608,-1.540860274
1.151839465,0.5948718667,1.055086377,-0.3474116453,-0.4094367264
1.155852843,1.086792429,0.6569314911,-0.2979034093,-0.9023636021
1.159866221,1.371001779,0.2587851234,-0.2483935295,-1.310177251
1.163879599,1.484290269,1.490068114,0.1155620819,-0.1123899492
1.167892977,1.415301381,1.491911581,0.09045254666,-0.1796795133
1.171906355,1.175068861,0.3901452531,-0.4273980027,-1.366836693
1.175919732,0.7952488115,0.3154272323,-0.8383788463,-1.515164335
1.17993311,0.3357073636,-0.136966932,-1.006541887,-2.023179638
1.183946488,-0.1238340843,0.8241204437,-1.353468068,-1.095752727
1.187959866,-0.5833755322,-1.729918095,-2.371654677,-3.744495051
1.191973244,-1.04291698,-2.00249155,-3.09575048,-4.057304933
1.195986622,-1.29878244,-2.048799903,-3.092193209,-4.16424698
1.2,-1.392909956,-1.607181631,-2.11775166,-3.773824114
